file	Number Of Intersections	Number Of Zones
321620987	2	0
321620987	3	1
321652589	0	0
321652589	1	2
321652589	2	1
321652589	3	1
32289713	0	0
32289713	1	3
3245291	0	0
3245291	1	5
3245291	2	1
324544865	0	0
324544865	1	7
324544865	2	8
324544865	3	5
324544865	4	2
324544865	5	1
3253671	0	0
3253671	1	2
32547856	0	0
32547856	1	2
32574761	0	0
32574761	1	3
326259198	0	0
326259198	1	5
326259198	2	7
326259198	3	4
326259198	4	1
33060624	0	0
33060624	1	2
33080832	0	0
33080832	1	1
33097148	0	0
33097148	1	1
3338681	0	0
3338681	1	2
333881828	0	0
333881828	1	2
333881828	2	1
333966373	0	0
333966373	1	3
33511585	0	0
33511585	1	3
33511585	2	1
33612973	0	0
33612973	1	3
33617320	0	0
33617320	1	2
336463060	0	0
336463060	1	2
33794839	0	0
33794839	1	1
33794839	2	1
338017544	0	0
338017544	1	3
338017544	2	1
338017544	3	1
33806113	0	0
33806113	1	3
33868543	0	0
33868543	1	2
34242979	0	0
34242979	1	9
34242979	2	10
34242979	3	1
34416153	0	0
34416153	1	9
34416153	2	5
34416153	3	1
344966590	0	0
344966590	1	3
345569115	0	0
345569115	1	2
34805698	0	0
34805698	1	2
34805698	2	1
348851602	0	0
348851602	1	2
35012277	0	0
35012277	1	2
35012277	2	1
35012599	0	0
35012599	1	6
35012599	2	1
351092905	0	0
351092905	1	4
351092905	2	1
35166642	0	0
35166642	1	2
35166642	2	1
353767514	0	0
353767514	1	2
353767514	2	3
353767514	3	1
353767514	4	0
353767514	5	0
353767514	6	0
353767514	7	0
353767514	8	1
35432497	0	0
355823615	0	0
355823615	1	1
356897757	0	0
356897757	1	3
356897757	2	1
356963	0	0
356963	1	7
356963	2	8
356963	3	2
35726059	0	0
35726059	1	3
358845982	0	0
358845982	1	2
35926608	0	0
35926608	1	5
35926608	2	6
35926608	3	6
35926608	4	4
35926608	5	1
359791673	0	0
359791673	1	2
359791673	2	5
359791673	3	4
360025190	0	0
360025190	1	3
360025190	2	3
360210947	0	0
360210947	1	3
364664695	0	0
364664695	1	2
364664695	2	1
36544954	0	0
36544954	1	2
36618690	0	0
36618690	1	1
36629388	0	0
36629388	1	1
368018677	0	0
368018677	1	1
36836787	0	0
36836787	1	3
36836787	2	1
36953510	0	0
37103386	0	0
37103386	1	3
37103386	2	2
37112942	0	0
37112942	1	2
37112942	2	1
37170886	0	0
37170886	1	4
37170886	2	2
37170886	3	1
37201612	0	0
37201612	1	3
37201612	2	1
372765570	0	0
372765570	1	2
374007416	0	0
374007416	1	11
374007416	2	6
374007416	3	1
37723441	0	0
37723441	1	3
37723441	2	1
377662213	0	0
377662213	1	4
37792861	0	0
37792861	1	2
378494343	0	0
378494343	1	2
378494343	2	1
37899473	0	0
37899473	1	2
37977732	0	0
37977732	1	9
37977732	2	9
37977732	3	1
37992666	0	0
37992666	1	2
37992666	2	2
38108292	0	0
38108292	1	3
381688396	0	0
381688396	1	2
381688396	2	1
382110320	0	0
382110320	1	1
384685422	0	0
384685422	1	3
384685422	2	2
384761809	0	0
384761809	1	2
38703025	0	0
38703025	1	3
38761811	0	0
38761811	1	2
39070445	0	0
39070445	1	3
39070445	2	1
39157827	0	0
39157827	1	3
39322973	0	0
39322973	1	3
396721965	0	0
396721965	1	2
39695043	0	0
39695043	1	2
39695043	2	1
397688944	0	0
397688944	1	1
398994309	0	0
398994309	1	2
398994309	2	1
40022380	0	0
40022380	1	1
400867704	0	0
400867704	1	2
400867704	2	1
402970625	0	0
402970625	1	3
40564708	0	0
40564708	1	1
40580577	0	0
40580577	1	2
40580577	2	1
40705032	0	0
407769660	0	0
407769660	1	4
407769660	2	4
40777046	0	0
40777046	1	3
40813518	0	0
40813518	1	2
40818894	0	0
40818894	1	1
40981798	0	0
40981798	1	2
414334713	0	0
414334713	1	3
414334713	2	2
414334713	3	1
414334713	4	1
41945050	0	0
41945050	1	3
41945050	2	1
42098834	0	0
42098834	1	3
423567032	0	0
423567032	1	2
42522911	0	0
42522911	1	1
4258591	0	0
4258591	1	1
4258591	2	1
42676302	0	0
42676302	1	3
42676302	2	1
428333	0	0
428333	1	3
428333	2	3
42912024	0	0
42912024	1	2
42912024	2	1
43003845	0	0
43003845	1	2
430313102	0	0
430313102	1	2
430313102	2	1
43194901	0	0
43194901	1	7
43194901	2	3
43540843	0	0
43540843	1	6
43540843	2	11
43540843	3	6
43540843	4	1
43858661	0	0
43858661	1	1
43858661	2	1
43858661	3	1
4387041	0	0
4387041	1	4
441252694	0	0
441252694	1	1
441252694	2	2
441252694	3	1
44130462	0	0
44130462	1	5
44130462	2	3
44130462	3	1
44257374	0	0
44257374	1	2
44257374	2	1
44257374	3	1
44394333	0	0
44394333	1	2
44524106	0	0
44524106	1	1
44666348	0	0
44666348	1	2
45145944	0	0
45310286	0	0
45310286	1	7
45310286	2	7
45310286	3	3
45310286	4	0
45310286	5	1
45333725	0	0
45333725	1	4
45333725	2	1
45690012	0	0
45690012	1	8
45690012	2	4
45753733	0	0
45753733	1	2
46160500	0	0
46160500	1	4
46160500	2	5
46160500	3	1
46533358	0	0
46533358	1	2
47359057	0	0
47359057	1	2
47359057	2	1
47673661	0	0
47673661	1	2
477094958	0	0
477094958	1	2
47854857	0	0
47854857	1	5
47854857	2	7
47854857	3	6
47854857	4	4
47854857	5	1
48132655	0	0
48132655	1	3
48436259	0	0
48436259	1	2
484991854	0	0
484991854	1	2
48730516	0	0
48730516	1	4
48730516	2	0
48730516	3	1
49098552	0	0
49098552	1	2
49098552	2	2
49253437	0	0
49253437	1	2
493138720	0	0
493138720	1	13
493138720	2	7
493138720	3	1
49414491	0	0
49414491	1	4
494538543	0	0
494538543	1	4
494538543	2	3
49536244	0	0
49536244	1	10
49536244	2	2
50145896	0	0
50145896	1	3
50145896	2	1
50189671	0	0
50189671	1	1
50189671	2	3
50189671	3	2
50189671	4	1
51694885	0	0
51694885	1	7
51775432	0	0
51775432	1	1
521489919	0	0
521489919	1	1
521489919	2	1
52330027	0	0
52330027	1	2
52405864	0	0
52405864	1	2
52405864	2	1
52442002	0	0
52442002	1	2
52442002	2	1
52498113	0	0
52498113	1	2
52772629	0	0
52772629	1	1
53235381	0	0
53235381	1	1
532617990	0	0
532617990	1	2
53685618	0	0
53685618	1	2
54107218	0	0
54107218	1	2
54107218	2	2
54107218	3	1
54168315	0	0
54168315	1	4
54178513	0	0
54178513	1	4
54226675	0	0
54226675	1	2
54331626	0	0
54331626	1	1
54331626	2	1
54460963	0	0
54460963	1	2
54695584	0	0
54695584	1	7
54695584	2	3
5471892	0	0
5471892	1	8
54791004	0	0
54791004	1	2
54791004	2	3
54791004	3	1
549089429	0	0
549089429	1	1
55019615	0	0
55019615	1	1
55019615	2	1
5506012	0	0
5506012	1	3
5506012	2	1
5539522	0	0
5539522	1	2
55928029	0	0
5747502	0	0
5747502	1	4
5773532	0	0
5773532	1	2
5774432	0	0
5774432	1	2
57828817	0	0
57828817	1	2
58427526	0	0
58427526	1	2
58525541	0	0
58641627	0	0
58641627	1	2
5868402	0	0
5868402	1	1
5868402	2	1
58930815	0	0
58930815	1	4
58930815	2	3
59359628	0	0
59359628	1	1
59588845	0	0
59588845	1	4
59588845	2	5
59588845	3	2
59588845	4	1
59676554	0	0
59676554	1	1
59676554	2	1
6018292	0	0
6018292	1	3
6018292	2	1
61086747	0	0
61086747	1	2
61158706	0	0
61158706	1	1
61158706	2	2
612473	0	0
612473	1	5
612473	2	9
612473	3	2
612473	4	2
61311054	0	0
61311054	1	8
61311054	2	4
613313	0	0
613313	1	2
613313	2	1
6165372	0	0
6165372	1	2
61781462	0	0
61781462	1	2
61781462	2	3
61890555	0	0
61890555	1	0
61890555	2	1
61890555	3	1
623623	0	0
623623	1	2
6253282	0	0
6253282	1	2
6253282	2	1
62609430	0	0
62609430	1	1
62740714	0	0
62740714	1	1
62740714	2	1
62759402	0	0
62759402	1	2
62759402	2	1
6297852	0	0
6297852	1	4
62985251	0	0
62985251	1	2
629863	0	0
629863	1	7
629863	2	3
629863	3	2
63084853	0	0
63084853	1	0
63084853	2	0
63084853	3	0
63084853	4	1
63207451	0	0
63207451	1	1
63207451	2	1
6351572	0	0
6351572	1	1
63787760	0	0
63787760	1	3
6408382	0	0
6408382	1	3
6408382	2	2
64253854	0	0
64253854	1	3
64441390	0	0
64441390	1	4
64441390	2	6
64441390	3	2
64496469	0	0
64496469	1	2
64508047	0	0
64508047	1	2
64508047	2	6
64508047	3	1
64619842	0	0
64619842	1	2
64931560	0	0
64931560	1	3
64931560	2	1
65185224	0	0
65185224	1	2
65185224	2	2
65185224	3	1
65185224	4	1
65357070	0	0
65360846	0	0
65360846	1	4
65360846	2	2
65360846	3	1
65360846	4	1
66100530	0	0
66100530	1	2
66136244	0	0
66136244	1	2
66136244	2	1
66185823	0	0
66185823	1	2
66185823	2	3
66185823	3	2
6650612	0	0
6650612	1	2
6650612	2	1
66761133	0	0
66761133	1	6
66761133	2	2
66804457	0	0
66804457	1	3
66841215	0	0
66841215	1	4
66841215	2	1
67378554	0	0
67378554	1	3
67378554	2	1
68179571	0	0
68179571	1	2
68257605	0	0
68257605	1	2
68480165	0	0
68480165	1	1
68732646	0	0
68732646	1	3
68732646	2	1
69049114	0	0
69049114	1	4
69049114	2	5
69193714	0	0
69193714	1	3
69193714	2	2
69548480	0	0
69548480	1	3
69548480	2	1
69624952	0	0
69624952	1	3
69624952	2	1
70123665	0	0
70123665	1	2
70160230	0	0
70160230	1	3
70160230	2	1
70492333	0	0
70492333	1	3
70492333	2	1
70492333	3	0
70492333	4	1
70620846	0	0
70620846	1	2
70620846	2	1
7098022	0	0
7098022	1	1
71091272	0	0
71091272	1	1
7144422	0	0
7144422	1	1
72339761	0	0
72339761	1	3
72339761	2	2
73024519	0	0
73024519	1	4
73024519	2	3
73024519	3	2
73298877	0	0
73298877	1	2
73443014	0	0
73443014	1	2
734493	0	0
73707412	0	0
73707412	1	2
73738774	0	0
73738774	1	5
73738774	2	3
73738774	3	1
742143	0	0
742143	1	1
742143	2	2
7424642	0	0
7424642	1	3
7424642	2	4
7424642	3	1
74264908	0	0
74264908	1	3
745823	0	0
745823	1	12
745823	2	13
75321229	0	0
75321229	1	1
75321229	2	1
75343905	0	0
75343905	1	3
75343905	2	2
75370828	0	0
75370828	1	4
75370828	2	4
759679	0	0
759679	1	2
7668362	0	0
7668362	1	2
7670202	0	0
7670202	1	4
7682452	0	0
7682452	1	5
7682452	2	11
7682452	3	5
7682452	4	1
7682452	5	3
7682452	6	1
77404713	0	0
77404713	1	3
77843323	0	0
77843323	1	6
77843323	2	5
77843323	3	1
778446	0	0
778446	1	10
778446	2	7
779715	0	0
779715	1	7
779715	2	19
779715	3	13
779715	4	4
779715	5	1
779715	6	2
78138151	0	0
78138151	1	2
78138151	2	1
78391198	0	0
78391198	1	1
78391198	2	1
7861312	0	0
7861312	1	6
7861312	2	2
7875912	0	0
7875912	1	4
7875912	2	3
7875912	3	2
78813	0	0
78813	1	2
78813	2	1
7888452	0	0
7888452	1	7
7888452	2	11
7888452	3	9
7888452	4	2
7890392	0	0
7890392	1	0
7890392	2	1
789071	0	0
789071	1	2
78944566	0	0
78944566	1	3
78944566	2	1
790205	0	0
790205	1	1
79797834	0	0
79797834	1	10
79797834	2	9
79797834	3	2
79797834	4	2
79797834	5	2
79797834	6	1
80297299	0	0
80297299	1	6
80317145	0	0
80317145	1	2
80479756	0	0
80479756	1	1
80660928	0	0
80660928	1	7
80681990	0	0
80681990	1	5
80681990	2	9
80681990	3	3
80688804	0	0
80688804	1	3
80688804	2	1
8079892	0	0
8079892	1	1
809864	0	0
809864	1	2
809864	2	1
81938351	0	0
81938351	1	2
81938351	2	1
819800	0	0
819800	1	9
819800	2	15
819800	3	3
819800	4	0
819800	5	0
819800	6	0
819800	7	0
819800	8	0
819800	9	0
819800	10	1
82726142	0	0
82726142	1	4
83048001	0	0
83048001	1	3
83048001	2	1
83285096	0	0
83285096	1	1
83478370	0	0
83478370	1	1
83883736	0	0
83883736	1	3
84114921	0	0
84114921	1	3
84114921	2	1
84473837	0	0
84473837	1	5
84473837	2	1
85432934	0	0
85432934	1	2
85432934	2	1
85716069	0	0
85716069	1	3
85716069	2	2
85716069	3	0
85716069	4	1
86560711	0	0
86560711	1	0
86560711	2	1
86664924	0	0
86775971	0	0
86775971	1	1
86799233	0	0
86799233	1	2
87004822	0	0
87004822	1	5
87004822	2	5
87114066	0	0
87114066	1	4
87114066	2	4
87114066	3	2
87114066	4	2
87525002	0	0
87525002	1	2
87525002	2	1
8768832	0	0
8768832	1	1
87771546	0	0
87771546	1	2
87798068	0	0
87798068	1	2
88456842	0	0
88456842	1	3
88456842	2	2
88456842	3	1
88639412	0	0
88639412	1	4
88931752	0	0
88931752	1	6
88931752	2	5
89032548	0	0
89032548	1	2
8914942	0	0
8914942	1	2
89826562	0	0
89826562	1	2
90072587	0	0
90072587	1	2
90880254	0	0
90880254	1	1
90880254	2	1
90998968	0	0
90998968	1	3
91067832	0	0
91067832	1	3
91067832	2	1
9215692	0	0
9215692	1	3
9215692	2	2
9254272	0	0
9254272	1	1
926981	0	0
926981	1	1
92715435	0	0
92715435	1	1
9298152	0	0
9298152	1	7
9298152	2	1
93006320	0	0
93006320	1	6
93006320	2	9
93006320	3	7
93006320	4	8
93006320	5	2
93006320	6	1
93006320	7	1
93787797	0	0
93787797	1	3
93787797	2	1
93787797	3	1
93906304	0	0
93906304	1	5
93906304	2	3
93906304	3	1
93998005	0	0
93998005	1	3
93998005	2	1
94147192	0	0
94147192	1	8
94147192	2	3
94480069	0	0
94480069	1	2
94480069	2	1
9460682	0	0
9460682	1	3
94915681	0	0
94915681	1	1
9524062	0	0
9524062	1	4
9524062	2	2
96483973	0	0
96483973	1	2
96483973	2	1
96545499	0	0
96545499	1	1
96545499	2	1
96843721	0	0
96843721	1	3
96843721	2	2
96907622	0	0
96907622	1	1
96907622	2	1
98345808	0	0
9855382	0	0
9855382	1	1
98633794	0	0
98633794	1	4
98633794	2	2
98801140	0	0
98801140	1	2
